License Issue Date	License Number	Animal's Name	Species	Primary Breed	Secondary Breed	ZIP Code
December 18 2015	S107948	Zen	Cat	Domestic Longhair	Mix	98117
June 14 2016	S116503	Misty	Cat	Siberian		98117
August 04 2016	S119301	Lyra	Cat	Mix		98121
February 17 2018	S140000	Wilbur	Cat	Domestic Shorthair		98103
August 13 2018	578368	Lucky	Cat	Oriental Shorthair	Mix	98106
August 30 2018	S121902	Buffy	Cat	Siamese	European Shorthair	98107
August 31 2018	S120217	Leeloo	Cat	Domestic Shorthair		98102
August 31 2018	S120218	Zorg	Cat	Domestic Shorthair		98102
November 18 2018	118752	Princess	Cat	Domestic Shorthair		98103
November 20 2018	8001722	Princess	Cat	Siamese		98117
December 18 2018	8001785	Eloise	Cat	Pixie-Bob	Mix	98107
January 27 2019	8005097	Jolene	Cat	Maine Coon	Mix	98133
February 06 2019	S151272	Mo Kitty	Cat	Domestic Shorthair	Mix	98105
February 13 2019	962273	Veronica	Cat	Domestic Longhair		98107
February 22 2019	817178	Sadie	Cat	Domestic Shorthair		98199
February 23 2019	S117292	Cosmos	Cat	Domestic Shorthair	Mix	98117
February 25 2019	8004767	Ozzie	Cat	Domestic Medium Hair		98107
February 25 2019	8004766	Mr. Pickles	Cat	Domestic Shorthair	Mix	98107
February 25 2019	29135	Tabby	Cat	Domestic Shorthair		98115
February 25 2019	S127322	Porsche	Cat	Domestic Medium Hair		98119
February 26 2019	574322	Nimbus	Cat	Domestic Shorthair		98122
March 19 2019	8006546	Kiki	Cat	Domestic Longhair	Mix	98115
March 21 2019	142321	Kita	Cat	Domestic Shorthair		98117
March 24 2019	8006641	Oliver	Cat	Domestic Shorthair	Mix	98126
March 24 2019	8006682	Hootie	Cat	Domestic Shorthair	Mix	98136
March 25 2019	S123294	Sofie	Cat	Domestic Shorthair		98109
March 26 2019	273159	Trixie	Cat	Domestic Shorthair		98199
March 26 2019	133718	Buddy	Cat	Domestic Shorthair		98115
March 27 2019	77348	Mia	Cat	Domestic Shorthair		98122
March 31 2019	429389	Mickey	Cat	Domestic Shorthair		98119
April 21 2019	S128396	Haru	Cat	Domestic Shorthair	Mix	98199
April 24 2019	8001800	Sally	Cat	Domestic Shorthair		98125
May 13 2019	S108529	Stasia	Cat	Domestic Medium Hair		98109
June 01 2019	208746	Sweetheart	Cat	Domestic Medium Hair		98116
June 06 2019	79347	Mr Darcy	Cat	Domestic Shorthair		98103
June 23 2019	347178	Taboo	Cat	Domestic Longhair		98105
June 25 2019	8007918	Kali	Cat	Domestic Shorthair		98133
July 04 2019	209285	Daisy	Cat	Domestic Shorthair		98117
July 30 2019	S132137	Ada	Cat	American Curl	Mix	98115
August 05 2019	8000477	Rascal	Cat	Domestic Longhair	Mix	98199
August 10 2019	S133113	Spider	Cat	LaPerm		98115
August 11 2019	S141077	Sammy	Cat	Domestic Shorthair		98136
August 16 2019	S130442	Fog	Cat	Domestic Medium Hair	Mix	98106
August 23 2019	S133417	Alicia Keys	Cat	Domestic Longhair		98133
September 01 2019	S133114	Edom	Cat	LaPerm		98115
September 06 2019	434326	Purcy	Cat	Domestic Shorthair		98112
September 28 2019	204738	Hunter	Cat	Pixie-Bob		98112
October 01 2019	8012076	Mab	Cat	Domestic Medium Hair	Mix	98136
October 02 2019	8012087	Guiness	Cat	Abyssinian		98125
October 05 2019	822818	Raspberry	Cat	Domestic Medium Hair	Mix	98115
October 06 2019	S110834	Olivier	Cat	Domestic Shorthair	Mix	98117
October 11 2019	825362	Hank	Cat	Domestic Shorthair		98116
October 16 2019	732747	Coco	Cat	Domestic Shorthair		98107
October 16 2019	349642	Tobey	Cat	Domestic Shorthair		98102
October 24 2019	346697	Charlotte	Cat	LaPerm		98105
October 24 2019	346695	Charlie	Cat	LaPerm		98105
October 26 2019	833109	Katya	Cat	Bombay		98125
November 01 2019	832211	Frodo	Cat	Domestic Shorthair		98112
November 01 2019	832698	Molly	Cat	Domestic Medium Hair		98107
November 03 2019	8012965	Koshka	Cat	American Shorthair		98109
November 08 2019	S126274	Eroteme	Cat	Domestic Shorthair	Mix	98115
November 12 2019	8013203	Max	Cat	Domestic Shorthair		98125
November 12 2019	8013204	Shadow	Cat	Domestic Longhair		98125
November 13 2019	833084	Ninotchka	Cat	Domestic Medium Hair		98117
November 14 2019	S134363	Sofie	Cat	Domestic Shorthair	Mix	98115
November 17 2019	S124711	Catty	Cat	Domestic Medium Hair	Mix	98125
November 21 2019	8002549	Maxx	Cat	American Shorthair		98125
November 23 2019	S104077	Ruby	Cat	Domestic Medium Hair	Mix	98103
November 25 2019	823923	Ginger	Cat	Domestic Shorthair		98116
December 03 2019	S130444	Ralphie	Cat	Ragdoll		98112
December 07 2019	272467	Sasha	Cat	Domestic Shorthair		98106
December 11 2019	733464	Grace	Cat	Domestic Medium Hair		98106
December 26 2019	22056	Teddy	Cat	Domestic Shorthair		98199
December 29 2019	S145958	Rosemary	Cat	Domestic Shorthair	Mix	98107
January 01 2020	8014466	Elton	Cat	Domestic Shorthair	Mix	98107
January 01 2020	8014477	George Klainer	Cat	American Shorthair	Mix	98109
January 02 2020	S153331	Leigh	Cat	Domestic Shorthair	Mix	98119
January 02 2020	S153332	Daniel	Cat	Domestic Shorthair	Mix	98105
January 02 2020	8014483	Catalina	Cat	Siberian	Mix	98117
January 02 2020	8014492	Legacy	Cat	Mix	Mix	98116
January 02 2020	8014508	Ellie	Cat	Domestic Shorthair	Mix	98133
January 03 2020	8014515	Kitten	Cat	Domestic Shorthair	Mix	98119
January 03 2020	S151072	Franny	Cat	Domestic Shorthair	Mix	98106
January 05 2020	S151890	Wasabi-Sake	Cat	Domestic Shorthair	Mix	98122
January 05 2020	S151894	Priscilla	Cat	Domestic Shorthair	Mix	98122
January 05 2020	8014600	Rumpelteazer	Cat	Domestic Shorthair	Mix	98122
January 05 2020	8014601	Vickie Sue	Cat	Domestic Shorthair	Mix	98122
January 06 2020	8014612	Frank	Cat	Domestic Shorthair	Mix	98115
January 06 2020	8014628	Lilian	Cat	Maine Coon	Mix	98119
January 07 2020	8014647	Taco	Cat	Domestic Shorthair	Mix	98126
January 07 2020	8014648	Tillie	Cat	Domestic Shorthair	Mix	98126
January 07 2020	8014657	Jimmy	Cat	Desert Lynx	Mix	98119
January 08 2020	284710	Dolce	Cat	Domestic Shorthair		98102
January 08 2020	8014681	Nyla	Cat	Domestic Shorthair	Mix	98121
January 08 2020	S151904	Potato	Cat	Domestic Shorthair	Mix	98133
January 08 2020	S151084	Oneie	Cat	Domestic Medium Hair	Mix	
January 08 2020	S109878	Misha Ophelia	Cat	Siamese		98115
January 08 2020	22681	Juniper	Cat	Domestic Shorthair		98199
January 09 2020	S118154	Kedi	Cat	American Shorthair	Domestic Shorthair	98106
January 09 2020	8014711	Bagheera	Cat	American Shorthair	Mix	98125
January 09 2020	14008	Zephyr	Cat	Domestic Shorthair		98117
January 09 2020	S110507	Lewis	Cat	Domestic Shorthair	Maine Coon	98117
January 09 2020	S110506	Clark	Cat	Domestic Shorthair	Maine Coon	98117
January 09 2020	S140184	Neil	Cat	Domestic Shorthair		98115
January 09 2020	S139535	Stella	Cat	Domestic Medium Hair		98115
January 09 2020	S139647	Julius	Cat	Domestic Medium Hair		98115
January 09 2020	S148824	Abby	Cat	Domestic Shorthair	Mix	98125
January 09 2020	S148828	Theo	Cat	Domestic Shorthair	Mix	98106
January 09 2020	S148827	Simon	Cat	Domestic Shorthair	Mix	98106
January 09 2020	277104	Callie	Cat	Domestic Shorthair		98126
January 09 2020	S151088	Darlene Tucker	Cat	Angora	Mix	98121
January 09 2020	S109970	O-Ren	Cat	American Shorthair	Siamese	98117
January 09 2020	S151089	Nancy	Cat	Domestic Shorthair	Mix	98107
January 09 2020	S109352	Noodle	Cat	Domestic Shorthair	Mix	98144
January 09 2020	8014749	Slinky	Cat	Domestic Longhair	Mix	98121
January 09 2020	8014752	Cedar	Cat	Domestic Shorthair	Mix	98133
January 09 2020	S109938	Peaches	Cat	Domestic Shorthair		98103
January 09 2020	8014755	Anjou	Cat	Chartreux	Mix	98103
January 10 2020	S153323	Bertha	Cat	Domestic Shorthair	Mix	98103
January 10 2020	22682	Rudy	Cat	Ragdoll		98106
January 10 2020	17531	Shashi	Cat	Bengal		98106
January 10 2020	S134430	Adelle	Cat	Domestic Shorthair	Mix	98121
January 10 2020	28453	Marshall	Cat	Domestic Shorthair		98199
January 10 2020	28487	Lily	Cat	Domestic Shorthair		98199
January 10 2020	268244	Sugar	Cat	Domestic Shorthair		98136
January 10 2020	28462	Sumi	Cat	Domestic Shorthair		98118
January 10 2020	28488	Daisy	Cat	Maine Coon		98144
January 10 2020	28484	Mickey	Cat	Maine Coon		98144
January 10 2020	S148830	Ziggy Stardust	Cat	Domestic Shorthair		98107
January 10 2020	28315	Moo Moo	Cat	Domestic Shorthair		98107
January 10 2020	28314	Suri	Cat	Domestic Shorthair		98107
January 10 2020	8014779	Winnie	Cat	Domestic Shorthair	Mix	98122
January 10 2020	S109473	Mitaka	Cat	Domestic Shorthair	Mix	98102
January 11 2020	S109815	Emily	Cat	Domestic Longhair		98125
January 11 2020	S148838	Christopher	Cat	Domestic Shorthair	Mix	98112
January 11 2020	8014813	Kittles	Cat	Norwegian Forest	Maine Coon	98112
January 11 2020	S109470	Callie Lou	Cat	Domestic Shorthair	Mix	98117
January 11 2020	S110209	Leala	Cat	Mix		98105
January 11 2020	73527	Saela	Cat	Domestic Shorthair		98102
January 11 2020	19399	Muffin	Cat	American Shorthair		98116
January 11 2020	28456	Spaceship	Cat	Domestic Shorthair		98108
January 11 2020	74274	Hulahan	Cat	American Shorthair		98108
January 11 2020	16826	Honeycut	Cat	Domestic Longhair		98108
January 12 2020	S109827	Bugs Bunny	Cat	Manx		98136
January 12 2020	S109828	Shade	Cat	Domestic Shorthair		98136
January 12 2020	8014832	Roscoe	Cat	Bengal	Mix	98119
January 12 2020	S151906	Sammy	Cat	Domestic Shorthair	Mix	98116
January 12 2020	S151907	Justice	Cat	Domestic Medium Hair		98117
January 12 2020	S151910	Jasper	Cat	Domestic Shorthair	Mix	98107
January 12 2020	8004561	Hudson	Cat	Domestic Shorthair		98107
January 12 2020	S126740	Harriet	Cat	Russian Blue		98118
January 12 2020	22367	Santiago	Cat	Domestic Medium Hair		98103
January 13 2020	28508	Ranger	Cat	Domestic Shorthair		98119
January 13 2020	S102346	Dylan	Cat	Maine Coon		98117
January 13 2020	S111076	Pipsqueak	Cat	Domestic Longhair		98125
January 13 2020	8014856	Haku	Cat	Domestic Shorthair	Mix	98102
January 13 2020	28235	Jingle	Cat	Domestic Shorthair		98112
January 13 2020	8014857	Jasmine	Cat	Domestic Shorthair		98126
January 13 2020	8014861	Ramsey	Cat	Domestic Shorthair		98106
January 13 2020	8014868	Totopo	Cat	Maine Coon	Mix	98144
January 13 2020	8014874	Cedric	Cat	Domestic Longhair	Mix	98125
January 13 2020	28167	Figaro	Cat	American Shorthair		98103
January 13 2020	28169	Bella	Cat	Domestic Longhair		98103
January 13 2020	8014876	Oreo	Cat	American Shorthair	Mix	98103
January 13 2020	8014877	Indie	Cat	American Shorthair	Mix	98103
January 13 2020	S143148	Charlie Girl	Cat	Domestic Shorthair	Mix	98115
January 13 2020	18551	Bat Kitty	Cat	Domestic Shorthair		98102
January 14 2020	19384	Grey	Cat	Russian Blue		98144
January 14 2020	18987	Minnie	Cat	Domestic Shorthair		98136
January 14 2020	18981	Bogie	Cat	Russian Blue		98136
January 14 2020	21525	Emma	Cat	Maine Coon	Mix	98109
January 14 2020	16520	Ebony	Cat	Domestic Shorthair		98117
January 14 2020	16519	Sienna	Cat	Domestic Shorthair		98117
January 14 2020	S151914	Peeve	Cat	Domestic Shorthair	Mix	98119
January 14 2020	17062	Bella	Cat	Domestic Shorthair	Mix	98178
January 14 2020	28573	Lucy	Cat	Domestic Medium Hair		98177
January 14 2020	S110109	Oscar	Cat	Domestic Medium Hair		98177
January 14 2020	28574	Olive	Cat	Domestic Medium Hair		98177
January 14 2020	S151915	Delphine	Cat	American Shorthair	Mix	98144
January 14 2020	S111222	Mildred	Cat	Domestic Medium Hair		98112
January 14 2020	28659	Tango	Cat	LaPerm		98103
January 14 2020	28416	Callie	Cat	Domestic Shorthair		98115
January 14 2020	28415	Rusty	Cat	Domestic Shorthair		98115
January 15 2020	S131883	Joe	Cat	Domestic Shorthair	Mix	98107
January 15 2020	22130	Jasper	Cat	Domestic Medium Hair		98115
January 15 2020	S111394	Chai	Cat	Domestic Shorthair		98115
January 15 2020	8014917	ChaCha	Cat	American Shorthair	Mix	98607
January 15 2020	S154003	Kojo	Cat	Domestic Medium Hair	Mix	98107
January 15 2020	S154004	Maya Mae	Cat	Domestic Shorthair	Mix	98107
January 15 2020	22353	Sylvester	Cat	Domestic Medium Hair		98115
January 15 2020	S154006	Monkey	Cat	Domestic Longhair	Mix	98109
January 16 2020	S153321	Feather	Cat	Domestic Longhair	Mix	98107
January 16 2020	8014946	Maya	Cat	Domestic Shorthair		98125
January 16 2020	8014949	Ziggy	Cat	Domestic Shorthair	Mix	98122
January 16 2020	8014959	"Augustus (""Gus"") Caesar DePriest"	Cat	Ragdoll		98507
January 16 2020	S154008	Helena	Cat	Domestic Shorthair	Mix	98107
January 16 2020	S111204	Miyla Mae Fristensky	Cat	Domestic Shorthair		98119
January 16 2020	S111181	Tay	Cat	Colourpoint Shorthair		98125
January 17 2020	8014967	Theo	Cat	Domestic Shorthair	Domestic Shorthair	98122
January 17 2020	28583	Lady Mari	Cat	Abyssinian		98109
January 17 2020	8014972	Jo Jo	Cat	Abyssinian		98109
January 17 2020	8014977	Bonnie	Cat	Domestic Medium Hair	Mix	98119
January 17 2020	S153959	Tamago	Cat	Domestic Longhair	Mix	98119
January 17 2020	S153960	Mojave	Cat	Domestic Shorthair	Mix	98125
January 17 2020	724475	Sasha	Cat	Domestic Shorthair		98136
January 17 2020	S154011	Marina	Cat	Domestic Shorthair	Mix	98199
January 17 2020	23813	Marloh	Cat	Domestic Medium Hair		98133
January 17 2020	8014989	Nora	Cat	American Shorthair	Mix	98116
January 18 2020	S109808	Vincent	Cat	Domestic Longhair		98118
January 18 2020	S142126	Widget	Cat	Domestic Medium Hair		98133
January 18 2020	S110454	Suzy-Kitty	Cat	Domestic Longhair		98108
January 18 2020	8014992	Pepper	Cat	Domestic Medium Hair	Mix	98122
January 18 2020	S153963	Kit Kat	Cat	Domestic Shorthair	Mix	98103
January 18 2020	29170	Wes	Cat	Domestic Shorthair		98144
January 18 2020	19194	Teddy	Cat	Domestic Medium Hair		98108
January 18 2020	S109469	Marshmallow	Cat	Domestic Shorthair		98117
January 18 2020	S139553	Max	Cat	Domestic Shorthair		98199
January 18 2020	S149271	Adele	Cat	Domestic Shorthair	Mix	98109
January 18 2020	19202	Princess	Cat	Domestic Shorthair		98144
January 18 2020	21506	Mary	Cat	Domestic Medium Hair		98117
January 18 2020	S149274	Duke	Cat	American Shorthair	Mix	98144
January 18 2020	S109782	Polly	Cat	Domestic Shorthair		98115
January 18 2020	S109781	Manuel	Cat	Domestic Shorthair		98115
January 18 2020	S153964	Sancho	Cat	Maine Coon		98118
January 19 2020	8015013	Folly	Cat	Domestic Shorthair	Mix	98113
January 19 2020	217506	Isis	Cat	LaPerm		98116
January 19 2020	217514	Romulus	Cat	LaPerm		98116
January 19 2020	S149275	Battambang	Cat	Domestic Shorthair	Mix	98101
January 19 2020	S149276	Petunia	Cat	Domestic Shorthair	Mix	98125
January 19 2020	S149277	Violeta	Cat	Domestic Shorthair	Mix	
January 19 2020	S149278	Momma Kitty	Cat	Domestic Shorthair	Mix	98122
January 20 2020	8015038	Olivia	Cat	American Shorthair	Mix	98126
January 20 2020	S111296	Gizmo	Cat	Domestic Shorthair		98109
January 20 2020	8015044	Snallygaster	Cat	Domestic Shorthair	Mix	98103
January 20 2020	8015045	Vesta	Cat	Domestic Shorthair	Mix	98103
January 20 2020	8015052	Dax	Cat	Domestic Shorthair	Mix	98122
January 20 2020	8015053	Gertie Ranier	Cat	Domestic Medium Hair	Mix	98146
January 21 2020	433646	Minnie Mouse	Cat	Domestic Shorthair		98199
January 21 2020	S148851	Crockett	Cat	Domestic Longhair	Mix	98199
January 21 2020	S134415	Ping	Cat	Domestic Shorthair	Mix	98119
January 21 2020	S134416	Fenn	Cat	Siamese	Mix	98119
January 22 2020	16746	Florencia	Cat	Domestic Shorthair		98122
January 22 2020	8015104	Oblia	Cat	Domestic Shorthair		98107
January 22 2020	77158	Poonai	Cat	Domestic Shorthair		98117
January 22 2020	S139938	Dobby	Cat	Domestic Shorthair		98115
January 22 2020	8015113	Hermione	Cat	Domestic Shorthair	Mix	98115
January 22 2020	S154016	Zuko	Cat	Domestic Shorthair	Mix	98115
January 22 2020	8015119	Echo	Cat	Domestic Shorthair	Domestic Shorthair	98103
January 22 2020	8015120	Starlily	Cat	Domestic Shorthair	Domestic Shorthair	98103
January 23 2020	8015127	Lily	Cat	Siamese	Domestic Medium Hair	98117
January 23 2020	8015128	Sherlock	Cat	Domestic Medium Hair	Mix	98117
January 23 2020	S139077	Yankee	Cat	Domestic Medium Hair	Mix	
January 23 2020	350336	Pepo	Cat	Siamese		98125
January 23 2020	350371	Anai	Cat	Siamese		98125
January 23 2020	S154021	Jujubee	Cat	Domestic Medium Hair	Mix	98102
January 23 2020	8015138	Annie	Cat	Domestic Shorthair	Mix	98115
January 23 2020	S149280	Jack	Cat	American Shorthair	Mix	98122
January 23 2020	S110193	Luna	Cat	American Shorthair		98116
January 23 2020	S110192	Samoa	Cat	Domestic Medium Hair		98116
January 24 2020	S153315	Cabot	Cat	Domestic Shorthair	Mix	98109
January 24 2020	S118198	Weezy	Cat	Domestic Shorthair	Mix	98102
January 24 2020	S137070	Bucky	Cat	Domestic Medium Hair	Exotic Shorthair	98133
January 24 2020	8015165	Ash	Cat	Domestic Medium Hair	Mix	98102
January 24 2020	S149284	Emily	Cat	Domestic Shorthair	Mix	98126
January 24 2020	S149283	Edgar	Cat	Domestic Shorthair	Mix	98126
January 24 2020	22058	Brook	Cat	Domestic Shorthair		98177
January 24 2020	S149285	Mabel	Cat	Domestic Medium Hair	Mix	98104
January 24 2020	74415	Benito	Cat	Siamese	Mix	98126
January 24 2020	S149288	Poppy	Cat	Domestic Shorthair	Mix	98199
January 25 2020	S153313	Auburn	Cat	Domestic Medium Hair	Mix	98104
January 25 2020	896148	Seastar	Cat	Domestic Shorthair		98122
January 25 2020	S109331	Mr. Gray	Cat	Domestic Shorthair	Mix	98177
January 25 2020	8015189	Nyx	Cat	Domestic Longhair	Mix	98168
January 25 2020	S148857	Stinker	Cat	Siamese		98116
January 25 2020	S139298	Milo	Cat	Domestic Shorthair	Mix	98103
January 25 2020	S139297	Clara	Cat	Domestic Shorthair	Mix	98103
January 26 2020	S153308	Lorenzo	Cat	Domestic Shorthair	Mix	98102
January 26 2020	S153311	Dallas	Cat	Domestic Shorthair	Mix	98112
January 26 2020	S153312	Carla	Cat	Domestic Shorthair	Mix	98122
January 26 2020	29147	Mooshi	Cat	Domestic Shorthair		98116
January 26 2020	8015208	Autumn	Cat	American Shorthair		98106
January 26 2020	28538	Max	Cat	Siamese		98125
January 27 2020	S111308	Mackintosh	Cat	Domestic Shorthair		98105
January 27 2020	19195	Lars	Cat	Ragdoll	Mix	98107
January 27 2020	19197	Rosie	Cat	Domestic Shorthair		98107
January 27 2020	S111136	Olive	Cat	Domestic Medium Hair	Mix	98106
January 28 2020	22693	Pluto	Cat	Domestic Shorthair		98122
January 28 2020	S151933	Marvin	Cat	Domestic Shorthair		98112
January 28 2020	22115	Oreo	Cat	Domestic Medium Hair		98117
January 28 2020	18516	Daisy	Cat	Domestic Shorthair		98146
January 28 2020	S110239	Kitty	Cat	Domestic Medium Hair		98117
January 28 2020	85256	Miss Guinness	Cat	Domestic Shorthair		98107
January 29 2020	S139075	Stamper	Cat	Domestic Shorthair	Mix	98112
January 29 2020	S104327	Kobe	Cat	Domestic Medium Hair	Mix	98117
January 29 2020	S104326	Heisenberg	Cat	Domestic Medium Hair	Mix	98117
January 29 2020	8015270	Kota	Cat	Domestic Shorthair	Mix	98104
January 29 2020	S153966	Winona	Cat	Domestic Longhair	Mix	98136
January 29 2020	S153967	Danny Boy	Cat	Domestic Shorthair	Mix	98102
January 29 2020	8015279	Keera	Cat	Domestic Shorthair		98121
January 29 2020	28577	Solo	Cat	American Shorthair		98144
January 29 2020	28579	Sid	Cat	British Shorthair		98144
January 29 2020	S110409	Emma	Cat	Bombay		98144
January 29 2020	S110408	Fred	Cat	Bombay		98144
January 29 2020	28544	Orzo Ross	Cat	Domestic Shorthair		98115
January 30 2020	74310	Loki	Cat	Domestic Longhair		98199
January 30 2020	8015292	Bingo	Cat	Domestic Medium Hair		98112
January 30 2020	S154029	Forks	Cat	Domestic Medium Hair		98107
January 30 2020	8015299	Guts	Cat	American Shorthair	Mix	98133
January 30 2020	S151945	Catsby	Cat	Domestic Shorthair	Mix	98125
January 30 2020	S154030	Rex	Cat	Domestic Shorthair	Mix	98101
January 30 2020	S127004	Nala	Cat	Domestic Shorthair	Domestic Shorthair	98178
January 30 2020	S140122	Kip	Cat	Domestic Shorthair		98115
January 30 2020	S140121	Kato	Cat	Domestic Medium Hair		98115
January 30 2020	28707	Mozart	Cat	Domestic Shorthair		98136
January 30 2020	S140280	Trouble	Cat	Domestic Shorthair	Mix	98106
January 31 2020	S139509	Totie	Cat	Domestic Shorthair	Mix	98177
January 31 2020	18636	Luna	Cat	Domestic Shorthair		98117
January 31 2020	21685	Mignonette	Cat	Domestic Shorthair		98144
January 31 2020	21686	Minnie	Cat	Domestic Shorthair		98144
January 31 2020	S110184	Carmen	Cat	Domestic Shorthair		98133
January 31 2020	573905	Millie	Cat	Domestic Shorthair		98199
January 31 2020	350062	Clover	Cat	Domestic Shorthair		98199
January 31 2020	S109282	Pabu	Cat	Domestic Longhair		98117
January 31 2020	435094	Lillie	Cat	Domestic Shorthair		98101
February 01 2020	8015345	Squirt	Cat	Domestic Shorthair		98117
February 01 2020	S149302	Rui	Cat	British Shorthair		98115
February 01 2020	S149301	Winston	Cat	British Shorthair		98115
February 01 2020	8015361	Meeko	Cat	Domestic Medium Hair	American Shorthair	98136
February 01 2020	S149305	Luna	Cat	Domestic Shorthair	Mix	98109
February 02 2020	S153307	Juniper	Cat	Domestic Shorthair	Mix	98107
February 02 2020	S153306	Wavey	Cat	Maine Coon	Domestic Longhair	98103
February 02 2020	22412	Jake	Cat	Domestic Medium Hair		98125
February 02 2020	S149309	Maggie	Cat	Domestic Shorthair	Mix	98116
February 02 2020	S149311	Cosmo	Cat	Domestic Shorthair		98107
February 02 2020	S149312	Peanut	Cat	Domestic Shorthair	Mix	98108
February 02 2020	S149313	Salem	Cat	Domestic Shorthair	Mix	98109
February 03 2020	S153302	Lottie	Cat	Domestic Shorthair	Mix	98122
February 03 2020	S153303	Cardi	Cat	Domestic Longhair	Mix	98122
February 03 2020	28639	Bucky	Cat	Domestic Medium Hair		98115
February 03 2020	28539	Winnie	Cat	Domestic Shorthair		98115
February 03 2020	28542	Arrow	Cat	Domestic Shorthair		98115
February 04 2020	8015423	Sunny aka Sunflower	Cat	Domestic Medium Hair	Mix	98105
February 04 2020	8015424	Zoey aka Nemo	Cat	Domestic Medium Hair	Mix	98105
February 04 2020	8015429	Sven	Cat	Domestic Shorthair	Mix	98102
February 04 2020	8015432	Reggie	Cat	Domestic Shorthair	Mix	98115
February 04 2020	8015433	Ronnie	Cat	Domestic Shorthair	Mix	98115
February 04 2020	21580	Murphy	Cat	Domestic Shorthair	Siamese	98118
February 04 2020	8015440	Dempsey	Cat	Domestic Shorthair	Mix	98115
February 04 2020	8015441	Emmy	Cat	Domestic Shorthair	Mix	98115
February 04 2020	18751	Marietta	Cat	Domestic Longhair		98107
February 04 2020	350828	Nelly	Cat	LaPerm		98107
February 04 2020	17064	Steve	Cat	Domestic Shorthair	Mix	98178
February 05 2020	S134463	Benny Jet	Cat	Domestic Shorthair	Mix	98104
February 05 2020	77299	Charlie	Cat	Domestic Medium Hair	Maine Coon	98107
February 05 2020	77040	Johnny Boots	Cat	Domestic Shorthair		98117
February 05 2020	8015459	Mazie	Cat	Domestic Shorthair	Mix	98177
February 05 2020	83375	Maisie	Cat	Domestic Shorthair		98109
February 05 2020	S110444	Zeb	Cat	Domestic Shorthair		98103
February 05 2020	S110445	Kimmy	Cat	Domestic Shorthair		98103
February 05 2020	S140270	KitKat	Cat	Domestic Shorthair		98115
February 05 2020	S134439	Jeffrey	Cat	Domestic Medium Hair	Mix	98112
February 05 2020	S104393	Griffin	Cat	Domestic Shorthair	Mix	98107
February 05 2020	S111881	Mario	Cat	Domestic Medium Hair	Mix	98117
February 05 2020	S148871	Scout	Cat	Domestic Shorthair	Mix	98101
February 05 2020	S111094	Eloise	Cat	Domestic Shorthair		98101
February 05 2020	S148872	Dobby	Cat	Turkish Van		98144
February 05 2020	83028	Viola	Cat	Domestic Shorthair		98133
February 05 2020	73543	Mario	Cat	Domestic Shorthair		98117
February 05 2020	8015469	Creamy	Cat	Domestic Shorthair		98103
February 05 2020	S110732	Raleigh	Cat	Domestic Shorthair	Mix	98115
February 05 2020	83596	Bongo	Cat	Burmese	Mix	98117
February 05 2020	74341	Cottonina	Cat	British Shorthair		98177
February 05 2020	83516	Finn	Cat	Domestic Shorthair		98115
February 05 2020	83517	Jake	Cat	Domestic Shorthair		98115
February 05 2020	8015473	Well	Cat	Domestic Medium Hair	Mix	98133
February 05 2020	22315	Juniper	Cat	LaPerm		98117
February 06 2020	64379	Samantha	Cat	Domestic Shorthair		98105
February 06 2020	S140288	Stan	Cat	Domestic Shorthair	Mix	98136
February 06 2020	74414	Jeremy	Cat	Domestic Shorthair		98115
February 06 2020	S112372	Charlie	Cat	Domestic Longhair	Mix	98125
February 06 2020	S140414	Isabella	Cat	Ragdoll		98199
February 06 2020	77466	Pixel	Cat	Siamese	Domestic Longhair	98115
February 06 2020	77187	Nerf	Cat	Domestic Medium Hair		98115
February 06 2020	77188	Newt	Cat	Domestic Medium Hair		98115
February 06 2020	S139940	James	Cat	Domestic Shorthair	Mix	98033
February 06 2020	S139941	Jessie	Cat	Domestic Shorthair	Mix	98033
February 06 2020	69164	Sam	Cat	Domestic Shorthair		98105
February 06 2020	74243	Boots	Cat	Domestic Medium Hair		98118
February 06 2020	S110926	Gracie	Cat	American Shorthair	Mix	98144
February 06 2020	S110927	Boomer	Cat	Russian Blue		98144
February 06 2020	8015491	Daschel	Cat	Domestic Shorthair		98199
February 06 2020	S111831	Symmetry	Cat	Domestic Shorthair		98118
February 06 2020	22072	Beau	Cat	Domestic Medium Hair		98121
February 06 2020	74214	Otto	Cat	Domestic Shorthair	Mix	98117
February 06 2020	74209	Ulysses	Cat	Domestic Shorthair	Mix	98117
February 06 2020	83420	Max	Cat	Domestic Shorthair		98199
February 07 2020	S154204	Cole	Cat	Domestic Shorthair	Mix	98101
February 07 2020	8015506	Tobias	Cat	Domestic Shorthair		98107
February 07 2020	8015507	Miles	Cat	Domestic Medium Hair		98107
February 07 2020	83523	Oscar	Cat	Maine Coon		98118
February 07 2020	S143238	Sindarin	Cat	Burmese	Siamese	98199
February 07 2020	77293	ColbyJack	Cat	Domestic Longhair		98115
February 07 2020	S111571	Sailor	Cat	Siamese		98105
February 07 2020	80744	Bruce	Cat	Domestic Longhair		98119
February 07 2020	724090	Moose	Cat	Domestic Shorthair		98115
February 07 2020	77482	Lola	Cat	Domestic Longhair		98121
February 07 2020	8015525	Phillipe	Cat	Domestic Shorthair	Mix	98117
February 07 2020	8015526	Stella	Cat	Domestic Shorthair	Mix	98117
February 07 2020	S140432	Betty	Cat	American Shorthair		98117
